District name EN,District name AR,Population,Males %,Females %,Saudis %,Non Saudis %,Males,Females,Saudis,Non Saudis,Average Income
Janadriah,الجنادرية,34200,0.49,0.52,0.93,0.07,16587,17613,31772,2428,7600
Jarir,جرير,30800,0.6,0.4,0.32,0.68,18357,12443,9764,21036,8100
Jubrah,جبرة,5416,0.75,0.25,0.07,0.93,4078,1338,379,5037,3200
Kairouan,القيروان,17800,0.62,0.38,0.76,0.24,11054,6746,13475,4325,9400
Khashm Al Aan,خشم العان,55600,0.55,0.45,0.94,0.06,30358,25242,52375,3225,12500
King Abdulaziz,الملك عبدالعزيز,18000,0.39,0.61,0.26,0.74,7056,10944,4662,13338,15500
King Abdullah,الملك عبدالله,10000,0.44,0.56,0.71,0.29,4380,5620,7090,2910,10700
King Fahd,الملك فهد,38400,0.53,0.47,0.59,0.41,20275,18125,22579,15821,8100
King Faisal,الملك فيصل,85300,0.53,0.47,0.86,0.14,45294,40006,73358,11942,9700
King Khaled Airport,مطار الملك خالد ,0,0,0,0,0,0,0,0,0,0
King Saud University,جامعة الملك سعود,11100,0.51,0.49,0.86,0.14,5694,5406,9535,1565,14200
Laban,لبن,0,0,0,0,0,0,0,0,0,0
Ma'athar,المعذر,898,0.5,0.5,0.25,0.75,449,449,228,670,18300
Manfoha,منفوحة,34600,0.81,0.19,0.15,0.85,28026,6574,5086,29514,2400
Manfouhah Al Jadidah,منفوحة الجديدة,102100,0.71,0.29,0.17,0.83,72695,29405,17255,84845,2800
Marwah,المروه,19100,0.59,0.41,0.8,0.2,11269,7831,15337,3763,7100
Mikal,معكال,3930,0.89,0.11,0.05,0.95,3509,421,204,3726,2300
Mugharrazat,المغرزات,18200,0.52,0.48,0.68,0.32,9446,8754,12449,5751,8700
Nadheem,النظيم,145400,0.53,0.48,0.9,0.11,76335,69065,130133,15267,7500
Namar,نمار,15200,0.5,0.5,0.87,0.13,7646,7554,13209,1991,7300
North Ad Diriyah,الدرعية الشمالية,0,0,0,0,0,0,0,0,0,0
North Al Jubaylah,الجبيلة الشمالية,0,0,0,0,0,0,0,0,0,0
North Al Uyaynah,العيينة الشمالية,1329,0.64,0.36,0.7,0.3,852,477,933,396,0
Nozha,النزهة,29300,0.51,0.5,0.62,0.38,14797,14504,18254,11046,9400
Okaz,عكاظ,13300,0.5,0.5,0.88,0.12,6703,6597,11691,1609,10500
Qadisiyah,القادسية,34300,0.59,0.41,0.81,0.19,20271,14029,27646,6654,8300
Qerioh - Ad Diriyah,قريوة - الدرعية,7237,0.56,0.45,0.79,0.21,4017,3220,5703,1534,0
Rawabi,الروابي,65200,0.53,0.48,0.79,0.21,34230,30970,51508,13692,9200
Salah al-Din,صلاح الدين,11100,0.58,0.42,0.59,0.41,6394,4706,6549,4551,9200
Shubra,شبرا,63000,0.49,0.51,0.76,0.24,30870,32130,48006,14994,8000
Siyah,صياح,3691,0.67,0.33,0,1,2462,1229,0,3691,3200
South Al Jubaylah,الجبيلة الجنوبية,0,0,0,0,0,0,0,0,0,0
Southern Capital - Ad Diriyah,العاصمه الجنوبية - الدرعية,8327,0.46,0.54,0.88,0.12,3797,4530,7303,1024,0
Square,المربع,36400,0.51,0.49,0.15,0.85,18455,17945,5533,30867,10000
Sultanah - Ad Dirah,سلطانة - الديرة,4412,0.63,0.37,0.16,0.84,2797,1615,715,3697,3100
Sultanah - Al Uraija,سلطانة - العريجاء,29900,0.54,0.46,0.53,0.47,16266,13634,15967,13933,5200
Taybah,طيبة,615,1,0,0,1,615,0,0,615,2000
The King - Ad Diriyah,الملك - الدرعية,0,0,0,0,0,0,0,0,0,0
Thulaim,حي ثليم,19800,0.86,0.14,0.05,0.95,17028,2772,1030,18770,2500
Tuwaiq - Irqah,طويق - عرقه,21300,0.49,0.51,0.9,0.1,10458,10842,19106,2194,0
Tuwaiq - Utaiqah,طويق - عتيقة,189900,0.54,0.46,0.95,0.05,102546,87354,179835,10065,7200
Tuwaiq- Irqah,طويق - عرقة,21300,0.49,0.51,0.9,0.1,10458,10842,19106,2194,0
Uhud,أحد,10800,0.48,0.52,0.93,0.07,5206,5594,10044,756,5700
Ulaishah,عليشة,13500,0.48,0.52,0.6,0.4,6507,6993,8141,5360,9800
Umm Al Hamam Al Gharbi,ام الحمام الغربي,38400,0.54,0.46,0.71,0.29,20698,17702,27302,11098,9300
Umm Al Hamam Al Sharqi - Ad Dirah,أم الحمام الشرقي - الديرة,13900,0.59,0.42,0.17,0.83,8132,5769,2377,11523,5400
Umm Al Hamam Al Sharqi - Al-Ma'ather,ام الحمام الشرقي - المعذر,26900,0.62,0.38,0.24,0.76,16570,10330,6456,20444,5300
Umm Salim,أم سليم,37000,0.75,0.26,0.07,0.93,27565,9435,2479,34521,2400
Uraidh,عريض,0,0,0,0,0,0,0,0,0,0
Utaiqah,عتيقة,38100,0.6,0.4,0.45,0.55,22708,15392,17145,20955,3500
West Ad Diriyah,الدرعية الغربية,0,0,0,0,0,0,0,0,0,0
West Al Jubaylah,الجبيلة الغربية,0,0,0,0,0,0,0,0,0,0
West Al Uyaynah,العيينة الغربية,0,0,0,0,0,0,0,0,0,0
West Bodh,بوضة الغربية,0,0,0,0,0,0,0,0,0,0
